,norm,base_features,pairwise_features,scaler,classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores
51,max__param,degrees__param,l1_l2_linf__param,standard__None,grid__RF,0.91149870801,0.0147078231779,"{'class_weight': None, 'criterion': 'entropy', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 3, 'bootstrap': True}",0.904451612903,0.0158477406748,"[ 0.91935484  0.91935484  0.89677419  0.87096774  0.92258065  0.90322581
  0.89354839  0.89354839  0.92258065  0.89032258  0.91612903  0.89354839
  0.89354839  0.91290323  0.90322581  0.90967742  0.92258065  0.90967742
  0.9         0.90322581  0.91612903  0.91290323  0.89032258  0.9
  0.92258065  0.88387097  0.91935484  0.90967742  0.94193548  0.90322581
  0.90645161  0.89354839  0.89032258  0.91612903  0.90322581  0.88064516
  0.91290323  0.92580645  0.91290323  0.90322581  0.89354839  0.90967742
  0.91612903  0.92258065  0.9         0.89677419  0.92903226  0.90645161
  0.90322581  0.91290323  0.88064516  0.86451613  0.90322581  0.90322581
  0.92580645  0.88064516  0.9         0.9         0.87419355  0.89032258
  0.90967742  0.9         0.88709677  0.90967742  0.89032258  0.91290323
  0.85806452  0.9         0.89354839  0.89354839  0.9         0.92903226
  0.89032258  0.89677419  0.92258065  0.88709677  0.9         0.92903226
  0.89032258  0.91290323  0.93548387  0.92258065  0.92903226  0.88709677
  0.89354839  0.90645161  0.89032258  0.91290323  0.94516129  0.93225806
  0.90645161  0.90322581  0.88709677  0.91290323  0.88709677  0.89677419
  0.90645161  0.90322581  0.90322581  0.91612903]"
52,max__param,degrees__param,l1_l2_linf__param,standard__None,grid__GBT,0.908914728682,0.0144500199037,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.6, 'objective': 'binary:logistic'}",0.902612903226,0.0169328415757,"[ 0.91290323  0.91935484  0.89677419  0.86129032  0.91935484  0.9         0.9
  0.88387097  0.90322581  0.88387097  0.91612903  0.88387097  0.89354839
  0.90967742  0.89354839  0.90967742  0.92258065  0.90645161  0.9         0.9
  0.90967742  0.91935484  0.89354839  0.89677419  0.91612903  0.87419355
  0.91612903  0.90645161  0.94516129  0.89677419  0.89032258  0.89354839
  0.88064516  0.92580645  0.90967742  0.89032258  0.91290323  0.91290323
  0.90967742  0.90645161  0.89032258  0.90967742  0.91290323  0.90967742
  0.9         0.9         0.93225806  0.89677419  0.90967742  0.91612903
  0.87419355  0.86774194  0.89354839  0.9         0.91290323  0.87096774
  0.89677419  0.89677419  0.87419355  0.88709677  0.91290323  0.89354839
  0.88709677  0.91612903  0.89354839  0.91290323  0.85483871  0.89677419
  0.9         0.88387097  0.90322581  0.92580645  0.89032258  0.89677419
  0.92580645  0.87741935  0.88709677  0.93870968  0.89354839  0.91612903
  0.92580645  0.91290323  0.93548387  0.87741935  0.90322581  0.90645161
  0.89677419  0.91612903  0.94516129  0.93548387  0.90322581  0.90322581
  0.89354839  0.91935484  0.89354839  0.90322581  0.9         0.9
  0.89677419  0.91290323]"
53,max__param,degrees__param,l1_l2_linf__param,standard__None,grid__SGD,0.907622739018,0.0170193942026,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 1.0, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 50, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'log', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.905096774194,0.017204045697,"[ 0.91612903  0.92258065  0.90645161  0.87096774  0.91935484  0.90322581
  0.89677419  0.89677419  0.90322581  0.88709677  0.92903226  0.88064516
  0.89677419  0.92903226  0.90322581  0.90967742  0.91935484  0.9
  0.89032258  0.91935484  0.90645161  0.92580645  0.90322581  0.9
  0.91612903  0.87741935  0.91612903  0.89677419  0.93870968  0.9
  0.89032258  0.9         0.89354839  0.91612903  0.91290323  0.89354839
  0.91612903  0.91935484  0.91935484  0.91612903  0.87741935  0.90967742
  0.90645161  0.90645161  0.90322581  0.90322581  0.93225806  0.91935484
  0.90322581  0.92258065  0.89677419  0.86451613  0.90322581  0.90322581
  0.91935484  0.87096774  0.89354839  0.89677419  0.88387097  0.90322581
  0.91290323  0.89354839  0.89354839  0.93548387  0.90645161  0.91290323
  0.85806452  0.89354839  0.88709677  0.88387097  0.92903226  0.93225806
  0.88709677  0.90322581  0.92258065  0.86774194  0.89032258  0.93225806
  0.89354839  0.93548387  0.92903226  0.91290323  0.92903226  0.88387097
  0.9         0.89677419  0.9         0.90967742  0.9483871   0.93225806
  0.90967742  0.90322581  0.90322581  0.90967742  0.88064516  0.89677419
  0.89677419  0.90645161  0.90322581  0.90967742]"
54,max__param,degrees__param,l1_l2_linf__param,standard__None,grid__SVC,0.862403100775,0.0250215216462,"{'gamma': 0.2, 'kernel': 'sigmoid', 'random_state': 0, 'C': 0.05, 'max_iter': 50, 'shrinking': True, 'degree': 2}",0.843032258065,0.0445703736825,"[ 0.86129032  0.88064516  0.87419355  0.71612903  0.85806452  0.85806452
  0.85483871  0.86774194  0.86129032  0.8483871   0.87096774  0.84516129
  0.89032258  0.74193548  0.89354839  0.85806452  0.87741935  0.84193548
  0.85806452  0.86451613  0.83870968  0.89354839  0.82903226  0.86774194
  0.85806452  0.82258065  0.88387097  0.83225806  0.78064516  0.83225806
  0.8516129   0.84193548  0.77096774  0.86774194  0.82903226  0.86451613
  0.8516129   0.85806452  0.86451613  0.68387097  0.7516129   0.87419355
  0.87741935  0.84516129  0.88387097  0.84516129  0.87419355  0.8483871
  0.86451613  0.85806452  0.83870968  0.82580645  0.88064516  0.8516129
  0.81612903  0.81612903  0.86129032  0.86129032  0.85483871  0.84193548
  0.88387097  0.86774194  0.85806452  0.87741935  0.78709677  0.89032258
  0.8         0.83548387  0.85806452  0.83870968  0.87096774  0.73870968
  0.86129032  0.86451613  0.91290323  0.73548387  0.83225806  0.79354839
  0.86451613  0.88709677  0.89677419  0.78709677  0.87741935  0.79032258
  0.74516129  0.8516129   0.8516129   0.73870968  0.91290323  0.88387097
  0.76129032  0.82580645  0.87741935  0.83225806  0.8483871   0.76774194
  0.88064516  0.88064516  0.84516129  0.87419355]"
55,max__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.859173126615,0.0338407939906,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.75, 'max_iter': 50, 'fit_intercept': True}",0.856612903226,0.0185048577586,"[ 0.86451613  0.86451613  0.85806452  0.84516129  0.85806452  0.81612903
  0.84516129  0.84516129  0.87096774  0.8483871   0.8483871   0.8483871
  0.86451613  0.87096774  0.8516129   0.86451613  0.86451613  0.86451613
  0.83870968  0.86774194  0.83225806  0.83225806  0.83870968  0.83870968
  0.86451613  0.84516129  0.87419355  0.87419355  0.86774194  0.80322581
  0.82580645  0.83870968  0.84193548  0.87096774  0.86129032  0.82580645
  0.86774194  0.87419355  0.86774194  0.84516129  0.86774194  0.88709677
  0.85806452  0.86774194  0.85483871  0.83225806  0.86129032  0.87419355
  0.84193548  0.87096774  0.88709677  0.81935484  0.85483871  0.86774194
  0.89032258  0.83548387  0.87096774  0.8516129   0.87419355  0.84193548
  0.86129032  0.8516129   0.87419355  0.89032258  0.86129032  0.87096774
  0.83225806  0.85806452  0.86451613  0.83548387  0.88064516  0.89677419
  0.84516129  0.87096774  0.86451613  0.84516129  0.8483871   0.86129032
  0.86129032  0.88064516  0.83548387  0.87741935  0.86451613  0.8483871
  0.83870968  0.87096774  0.81290323  0.85806452  0.88064516  0.87419355
  0.89032258  0.87096774  0.86129032  0.86129032  0.83548387  0.84193548
  0.86774194  0.82580645  0.82903226  0.86129032]"
56,max__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__RF,0.836563307494,0.0277548659261,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 7, 'bootstrap': True}",0.831612903226,0.0204883154945,"[ 0.83548387  0.83870968  0.83870968  0.81935484  0.84193548  0.81290323
  0.80967742  0.84516129  0.88709677  0.82258065  0.8483871   0.8
  0.84516129  0.82258065  0.81612903  0.84193548  0.82903226  0.82258065
  0.83225806  0.83225806  0.82580645  0.83870968  0.81290323  0.82903226
  0.82258065  0.8         0.84516129  0.8483871   0.85483871  0.81612903
  0.82258065  0.81935484  0.8         0.81612903  0.82258065  0.82903226
  0.82580645  0.82580645  0.86129032  0.83225806  0.83870968  0.84193548
  0.84193548  0.83548387  0.82258065  0.82580645  0.8516129   0.83548387
  0.79677419  0.83225806  0.87419355  0.81290323  0.81612903  0.8516129
  0.88387097  0.79677419  0.84516129  0.8483871   0.79677419  0.81935484
  0.84516129  0.8483871   0.86129032  0.8483871   0.83548387  0.84516129
  0.8         0.83870968  0.83548387  0.81935484  0.83548387  0.81935484
  0.82258065  0.85483871  0.84193548  0.78387097  0.82258065  0.82903226
  0.83870968  0.8516129   0.8516129   0.83870968  0.85483871  0.79032258
  0.81935484  0.8516129   0.78709677  0.8483871   0.86774194  0.8483871
  0.83225806  0.83548387  0.81935484  0.8516129   0.80322581  0.81612903
  0.83870968  0.80322581  0.79354839  0.87419355]"
57,max__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__GBT,0.855943152455,0.0305992641852,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.6, 'objective': 'binary:logistic'}",0.84364516129,0.019086609108,"[ 0.86129032  0.83870968  0.83548387  0.82580645  0.8483871   0.83548387
  0.82258065  0.8483871   0.88064516  0.83548387  0.83548387  0.80967742
  0.85806452  0.83870968  0.8483871   0.85806452  0.85806452  0.8483871
  0.82580645  0.85483871  0.82580645  0.84516129  0.82903226  0.83548387
  0.8516129   0.82258065  0.8516129   0.86129032  0.85483871  0.82903226
  0.81935484  0.83870968  0.81612903  0.83870968  0.8483871   0.83548387
  0.82903226  0.84193548  0.86451613  0.83548387  0.85483871  0.83548387
  0.8483871   0.83548387  0.8516129   0.84193548  0.83870968  0.84516129
  0.82903226  0.82580645  0.89032258  0.81935484  0.83870968  0.8516129
  0.88709677  0.82258065  0.8516129   0.85483871  0.83548387  0.82903226
  0.8516129   0.8483871   0.88064516  0.86129032  0.84516129  0.86129032
  0.79354839  0.86774194  0.8516129   0.82258065  0.87419355  0.85806452
  0.85483871  0.87096774  0.8483871   0.80645161  0.82903226  0.83548387
  0.83870968  0.88064516  0.85806452  0.85806452  0.86774194  0.81935484
  0.84193548  0.86451613  0.78709677  0.8516129   0.88387097  0.86129032
  0.84193548  0.8483871   0.84516129  0.84516129  0.83870968  0.80322581
  0.8516129   0.81935484  0.82258065  0.84516129]"
58,max__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__SGD,0.865633074935,0.0315821043399,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 1.0, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 200, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'modified_huber', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.862193548387,0.0186041517974,"[ 0.87741935  0.8483871   0.86129032  0.85483871  0.86774194  0.8483871
  0.85806452  0.86129032  0.87741935  0.83870968  0.85806452  0.86129032
  0.89032258  0.88387097  0.85806452  0.87096774  0.85806452  0.87741935
  0.86129032  0.89677419  0.8516129   0.86451613  0.84193548  0.85483871
  0.87096774  0.85483871  0.89032258  0.86774194  0.8516129   0.82580645
  0.81612903  0.85806452  0.86774194  0.86774194  0.88387097  0.83870968
  0.87419355  0.86129032  0.84193548  0.87096774  0.86774194  0.88709677
  0.84193548  0.84193548  0.8516129   0.84516129  0.8483871   0.86451613
  0.87419355  0.89354839  0.84193548  0.82903226  0.86451613  0.88064516
  0.87096774  0.83225806  0.87096774  0.89032258  0.88387097  0.8483871
  0.83548387  0.86774194  0.87096774  0.89354839  0.87096774  0.8483871
  0.8483871   0.84516129  0.85483871  0.83225806  0.88064516  0.89677419
  0.86451613  0.88709677  0.87741935  0.84516129  0.8516129   0.87096774
  0.85806452  0.87419355  0.84193548  0.88064516  0.87096774  0.84516129
  0.81935484  0.89354839  0.82903226  0.87096774  0.88387097  0.87741935
  0.88064516  0.88709677  0.87096774  0.85483871  0.85483871  0.87096774
  0.8516129   0.8516129   0.82580645  0.89032258]"
59,max__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__SVC,0.684108527132,0.0409637183166,"{'gamma': 0.2, 'kernel': 'sigmoid', 'random_state': 0, 'C': 0.35000000000000003, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.672096774194,0.0622996267754,"[ 0.59354839  0.71612903  0.66774194  0.66774194  0.60967742  0.57419355
  0.71290323  0.59032258  0.77419355  0.69032258  0.69032258  0.67741935
  0.61290323  0.67419355  0.72580645  0.69032258  0.68709677  0.64193548
  0.70645161  0.72258065  0.7         0.60967742  0.68709677  0.7
  0.69354839  0.72258065  0.69354839  0.69677419  0.71935484  0.67419355
  0.62903226  0.60322581  0.67741935  0.64516129  0.70645161  0.68064516
  0.67741935  0.67096774  0.70322581  0.6516129   0.60322581  0.68387097
  0.67741935  0.63548387  0.69032258  0.68064516  0.6516129   0.68387097
  0.71290323  0.63225806  0.68387097  0.36774194  0.63548387  0.7
  0.69032258  0.71612903  0.70322581  0.72580645  0.68709677  0.70967742
  0.6516129   0.67741935  0.68064516  0.77419355  0.66774194  0.69032258
  0.59677419  0.6483871   0.7         0.66451613  0.73548387  0.63225806
  0.73548387  0.70645161  0.73225806  0.66774194  0.31612903  0.67096774
  0.70967742  0.69354839  0.69032258  0.69354839  0.74516129  0.67096774
  0.71290323  0.68709677  0.67741935  0.62580645  0.66129032  0.71612903
  0.68064516  0.76774194  0.65483871  0.61290323  0.68064516  0.70645161
  0.71935484  0.69354839  0.57741935  0.64516129]"
60,max__param,betweenness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.93023255814,0.0234577650566,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.65, 'max_iter': 50, 'fit_intercept': True}",0.926709677419,0.0132382317715,"[ 0.96129032  0.92903226  0.93548387  0.91290323  0.92903226  0.9483871
  0.9         0.92580645  0.9516129   0.91935484  0.89354839  0.90322581
  0.89677419  0.93870968  0.92580645  0.92258065  0.92580645  0.93225806
  0.92258065  0.93870968  0.93548387  0.91935484  0.93870968  0.91935484
  0.91935484  0.91935484  0.91612903  0.92903226  0.93225806  0.91935484
  0.90645161  0.93225806  0.92258065  0.93548387  0.92580645  0.93548387
  0.93225806  0.92903226  0.91935484  0.94193548  0.94516129  0.91612903
  0.92903226  0.92903226  0.92258065  0.90322581  0.92903226  0.93548387
  0.92580645  0.93225806  0.91612903  0.93548387  0.94516129  0.93225806
  0.93225806  0.93225806  0.92903226  0.93225806  0.93870968  0.92580645
  0.9483871   0.93225806  0.92903226  0.92903226  0.92580645  0.89677419
  0.91935484  0.93548387  0.91612903  0.91935484  0.92580645  0.91935484
  0.90967742  0.93548387  0.91935484  0.93870968  0.91935484  0.94193548
  0.91290323  0.9516129   0.92258065  0.88709677  0.93225806  0.91612903
  0.93225806  0.92580645  0.92258065  0.9516129   0.94193548  0.92903226
  0.93548387  0.93548387  0.93225806  0.93225806  0.89354839  0.91935484
  0.91935484  0.92580645  0.91935484  0.94193548]"
